id,site_id,title,seller_id,category_id,official_store_id,price,base_price,original_price,currency_id,initial_quantity,buying_mode,listing_type_id,condition,permalink,accepts_mercadopago,international_delivery_mode,status,domain_id,parent_item_id,date_created,last_updated,health,WARRANTY_TIME,INVOICE,WARRANTY_TYPE,PURCHASE_MAX_QUANTITY,MANUFACTURING_TIME,AUDIO_AND_VIDEO_INTERFACES,AUDIO_QUALITY,BRAND,COLOR,COMPATIBLE_APPLICATIONS,CPU,GENERATION,GRAPHICS_PROCESSOR,INCLUDES_CELL_BATTERIES,INCLUDES_HDMI_CABLE,INTEGRATED_VOICE_ASSISTANTS,ITEM_CONDITION,LANGUAGE_OPTIONS,MAIN_COLOR,MANUFACTURER,MODEL,OPERATING_SYSTEM,PORTS_AND_CONNECTORS_TYPES,RAM_MEMORY,STORAGE_CAPACITY,STREAMING_TECHNOLOGIES,WITH_BLUETOOTH,WITH_INTEGRATED_VOICE_ASSISTANTS,WITH_WI_FI,DEPTH,DIAMETER,FUNCTIONS,IS_MOISTURE_RESISTANT,LANGUAGES,OPERATIVE_SYSTEMS_COMPATIBILITY,POWER,POWER_SUPPLY_TYPES,SMART_SPEAKER_RADIO_FREQUENCIES,VIRTUAL_ASSISTANTS,VOLTAGE,WIRELESS_STANDARDS,WITH_360_SOUND,WITH_CAMERA,WITH_DIGITAL_DISPLAY,WITH_MULTI_ROOM_AUDIO_SYSTEM,WITH_RECYCLABLE_MATERIALS,WITH_TOUCHSCREEN,SMART_SPEAKER_FREQUENCIES,SMART_SPEAKER_RADIO_FREQUENCY,ELECTRICAL_SAFETY_CERTIFICATE_NUMBER,OCP_CERTIFICATION_AGENCY,DISPLAY_SIZE,173859744364,173859744365,173859692534,181601631654,80423124830,80643618343,shipping_mode,free_shipping,logistic_type,seller_city,seller_state,seller_country
MLA1914186778,MLA,Google Chromecast 4 Generación Con Google Tv Hd Blanco,567813379,MLA352001,,101900.0,101900.0,,ARS,25,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1914186778-google-chromecast-4-generacion-con-google-tv-hd-blanco-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-09-20T13:45:13.920Z,2024-11-17T01:43:11.874Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Belgrano,Capital Federal,Argentina
MLA1841199608,MLA,Xiaomi Mi Tv Stick Full Hd 8gb Con Control Color Negro,448487402,MLA352001,,114999.0,114999.0,,ARS,670,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1841199608-xiaomi-mi-tv-stick-full-hd-8gb-con-control-color-negro-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-07-10T18:42:54.045Z,2024-11-17T02:04:23.149Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,fulfillment,Núñez,Capital Federal,Argentina
MLA1399754931,MLA,Smart Tv Onn  Uhd Streaming Device 2° Gen 4k Color Negro,621229920,MLA352001,74930.0,65339.0,65339.0,,ARS,600,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1399754931-smart-tv-onn-uhd-streaming-device-2-gen-4k-color-negro-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2023-12-21T15:03:08.000Z,2024-11-17T01:57:16.500Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Rosario,Santa Fe,Argentina
MLA1433713863,MLA,Watch Onn Fhd Streaming Stick 2da Generación Google Tv 8gb 1.5 Gb Ram Color Negro Control Remoto De Voz,621229920,MLA352001,74930.0,55855.0,55855.0,,ARS,292,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1433713863-watch-onn-fhd-streaming-stick-2da-generacion-google-tv-8gb-15-gb-ram-color-negro-control-remoto-de-voz-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-06-19T20:22:00.243Z,2024-11-17T02:47:26.369Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Rosario,Santa Fe,Argentina
MLA1605231602,MLA,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,466232376,MLA352001,101990.0,106900.0,106900.0,,ARS,418,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1605231602-chromecast-google-ga03131-tv-hd-8gb-2gb-ram-60-fps-wifi-bluetooth-hdmi-4ta-gen-blanco-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2023-12-19T23:44:20.000Z,2024-11-16T22:14:08.896Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Adrogué,Buenos Aires,Argentina
MLA1835051588,MLA,Chromecast Google Ga03131 Tv Hd 8gb 2gb Ram 60 Fps Wifi Bluetooth Hdmi 4ta Gen Blanco,1848533798,MLA352001,,102299.0,102299.0,,ARS,198,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1835051588-chromecast-google-ga03131-tv-hd-8gb-2gb-ram-60-fps-wifi-bluetooth-hdmi-4ta-gen-blanco-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-07-04T23:47:11.346Z,2024-11-17T00:58:53.362Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,xd_drop_off,Belgrano,Capital Federal,Argentina
MLA1431384611,MLA,Google Chromecast Hd,1473628674,MLA352001,,99999.0,99999.0,,ARS,50,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1431384611-google-chromecast-hd-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-06-07T00:15:10.308Z,2024-11-17T01:59:37.099Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,xd_drop_off,San Cristóbal,Capital Federal,Argentina
MLA1324508604,MLA,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control,61852079,MLA352001,,155700.0,155700.0,,ARS,2536,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1324508604-chromecast-google-ga03131-tv-hd-8gb-blanco-control-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2023-01-28T15:12:15.000Z,2024-11-16T21:55:32.512Z,0.8,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Chacarita,Capital Federal,Argentina
MLA1324463415,MLA,Chromecast Google Ga03131 Tv Hd 8gb Blanco Control !,61852079,MLA352001,,189988.0,189988.0,,ARS,859,buy_it_now,gold_pro,new,https://articulo.mercadolibre.com.ar/MLA-1324463415-chromecast-google-ga03131-tv-hd-8gb-blanco-control--_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2023-01-28T15:18:34.000Z,2024-11-16T21:55:31.945Z,0.9,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Chacarita,Capital Federal,Argentina
MLA1441658477,MLA,Mi Tv Stick Xiaomi 4k Mdz-27-eu Color Negro,666749750,MLA352001,74466.0,110999.0,110999.0,,ARS,1797,buy_it_now,gold_special,new,https://articulo.mercadolibre.com.ar/MLA-1441658477-mi-tv-stick-xiaomi-4k-mdz-27-eu-color-negro-_JM,True,none,active,MLA-STREAMING_MEDIA_DEVICES,,2024-08-06T16:49:05.882Z,2024-11-16T03:05:49.158Z,,30 días,Factura A,Garantía de fábrica,1,7 días,HDMI,"Dolby Digital Plus,Vorbis,Dolby Atmos,Dolby Digital",Amazon,Negro,"Amazon Music,Amazon Prime Video,Apple Music,Apple TV,CBS All Access,Disney+,Hulu,iHeartRadio,IMDb TV,Netflix,Pandora,Pluto TV,Showtime,Sling TV,Spotify,Starz,Tubi,YouTube",Cortex-A53 Quad-Core,2ª generación,PowerVR GE8300,Sí,Sí,Alexa,Nuevo,Español,Negro,Amazon,Fire TV Stick 4K,Fire OS 6.2.7.7,Micro-USB,1.5 GB,8 GB,Miracast,Sí,Sí,Sí,98 mm,98 mm,"Reproducción de música,Control por voz,Control de dispositivos del hogar,Llamadas,Desactivar micrófono",No,"Inglés Australia,Inglés Canadá,Inglés India,Inglés Estados Unidos,Inglés Reino Unido,Inglés Singapur,Alemán,Francés,Danés,Hindi,Italiano,Japonés,Coreano,Español México,Español España,Neerlandés,Noruego,Sueco","Android 6.0,iOS 12.0",9 W,Corriente eléctrica,"2.4 GHz,5 GHz",Google Assistant,110V/220V,IEEE 802.11b/g/n/ac,,No,No,Sí,No,No,50 Hz x 60 Hz,"2.4 GHz,5 GHz",,,"7 """,,,,,,,me2,True,cross_docking,Almagro,Capital Federal,Argentina
